순번,회사명,공장대표주소(지번),업종명,전화번호
638,(주)덕원밸브,부산광역시 강서구 구랑동 1176-5번지,"탭, 밸브 및 유사장치 제조업",051-831-9020
639,(주)덕윤,부산광역시 사상구 주례동 689-5 2층,기타 신발 제조업,031-811-5500
640,(주)덕윤,부산광역시 사상구 덕포동 395-12 3층,기타 신발 제조업,031-811-5500
641,(주)덕진엔지니어링,부산광역시 사상구 학장동 722-35번지,금속탱크 및 저장용기 제조업 외 18 종,051-313-8771
642,(주)덕진하이텍,부산광역시 강서구 대저1동 337-44번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-313-3670
643,(주)덕포금형재,부산광역시 사상구 괘법동 561-3번지,주형 및 금형 제조업,051-327-1022
644,(주)덕포양행,부산광역시 사상구 괘법동 557-14번지,주형 및 금형 제조업,051-311-2401
645,(주)덕화푸드,부산광역시 서구 암남동 761-1번지 국제수산물도매시장 도매시장동 3층,수산동물 건조 및 염장품 제조업,051-265-8163
646,(주)데코컴퍼지트,부산광역시 기장군 기장읍 교리 327-3번지,기타 주변기기 제조업,051-712-0058
647,(주)덴아트덴탈랩,부산광역시 동래구 온천동 1415-26번지,정형외과용 및 신체보정용 기기 제조업,051-506-2820
648,(주)도사,부산광역시 강서구 송정동 1754-1번지,그 외 기타 특수목적용 기계 제조업,070-4190-7293
649,(주)도시전기,부산광역시 사상구 감전동 502-1번지 F-201호,그 외 기타 전자부품 제조업 외 2 종,051-417-8336
650,(주)도올,부산광역시 기장군 정관읍 모전리 565번지,건설용 석제품 제조업,051-728-7003
651,(주)도원타워정관공장,부산광역시 기장군 정관읍 매학리 475-16번지,기타 1차 비철금속 제조업,미등록
652,(주)도원플라텍,부산광역시 강서구 강동동 82-3번지,의료용품 및 기타 의약 관련제품 제조업,070-4633-2199
653,(주)동경기전,부산광역시 사하구 다대동 1515-12번지,금속 캔 및 기타 포장용기 제조업 외 4 종,051-261-2587
654,(주)동광,부산광역시 영도구 남항동2가 119번지,선박 구성 부분품 제조업,051-418-7335
655,(주)동광STS,부산광역시 강서구 신호동 291번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-832-8011
656,(주)동광주물,부산광역시 사상구 학장동 732-2번지,강주물 주조업,051-325-0598
657,(주)동광화학,부산광역시 사하구 신평동 470번지,그 외 기타 플라스틱 제품 제조업,051-204-2621
658,(주)동구인프라,부산광역시 강서구 대저2동 4786-4번지,전동기 및 발전기 제조업 외 2 종,051-973-1890
659,(주)동국필스텍,"부산광역시 강서구 송정동 1585-2번지 (송정동,1585-2)",선박 구성 부분품 제조업,051-831-2262
660,(주)동남금속,부산광역시 강서구 명지동 200-1번지,기타 1차 비철금속 제조업,051-327-9966
661,(주)동남기계,부산광역시 기장군 정관읍 달산리 1261 외 2필지,그 외 자동차용 신품 부품 제조업 외 3 종,051-724-6241
662,(주)동남기계,부산광역시 기장군 정관읍 달산리 1067-8 외 1필지,그 외 자동차용 신품 부품 제조업,051-724-6241
663,(주)동남비엔씨,부산광역시 영도구 대평동2가 89-11번지,선박 구성 부분품 제조업,051-413-1675
664,(주)동남섬유,부산광역시 강서구 대저2동 532-21번지,면직물 직조업,051-971-0461
665,(주)동남엘리베이터,부산광역시 강서구 송정동 1629번지,승강기 제조업 외 3 종,051-831-3328
666,(주)동남엘씨,부산광역시 사상구 학장동 257-1번지,구조용 금속 판제품 및 공작물 제조업 외 1 종,051-314-6400
667,(주)동남전자부품,부산광역시 사상구 주례동 1160-4번지,"알루미늄 압연, 압출 및 연신제품 제조업",051-323-3151
668,(주)동남코리아,부산광역시 강서구 구랑동 1225-3,강관 제조업,051-899-6403
669,(주)동남티에스,부산광역시 사상구 감전동 123-58 (주)동남티에스,유압기기 제조업,051-322-2384
670,(주)동남팩,부산광역시 사하구 장림동 74-14번지,기타 인쇄업 외 1 종,051-261-9525
671,(주)동도실업스텐레스,부산광역시 사상구 감전동 165-12번지,수동식 식품 가공기기 및 금속 주방용기 제조업,051-312-8919
672,(주)동림ENG,부산광역시 사하구 장림동 986-2번지,그 외 기타 가구 제조업 외 1 종,051-262-0573
673,(주)동림피앤티,부산광역시 금정구 회동동 153-17번지,합성수지 및 기타 플라스틱 물질 제조업,051-523-7731
674,(주)동명바이오,부산광역시 남구 용당동 485번지 동명대학교 학생군사교육관 402호,화장품 제조업,051-627-0420
675,(주)동명오앤씨,부산광역시 강서구 송정동 1762-3번지,계면활성제 제조업,051-832-2280
676,(주)동명이엔씨,부산광역시 사상구 덕포동 418-26,무기 및 총포탄 제조업 외 74 종,051-465-1147
677,(주)동명측정시스템,부산광역시 강서구 녹산동 555-24,기타 선박 건조업,051-961-3008
678,(주)동명테크디엠티,부산광역시 기장군 장안읍 오리 1123-4,주형 및 금형 제조업,051-727-8361
679,(주)동명펀칭,부산광역시 사상구 감전동 169-14번지,신발 부분품 제조업 외 1 종,051-323-3256
680,(주)동방메카니칼,부산광역시 강서구 송정동 1569-18번지,도금업,051-831-2760
681,(주)동방비에프,부산광역시 기장군 정관읍 용수리 1047-7번지,냉간 압연 및 압출 제품 제조업,051-728-5577
682,(주)동방선기,부산광역시 강서구 송정동 1610-7번지,선박 구성 부분품 제조업,051-831-1882
683,(주)동방선기,부산광역시 강서구 지사동 1210-1번지,선박 구성 부분품 제조업,051-972-0882
684,(주)동방선기,부산광역시 강서구 미음동 1549-2,선박 구성 부분품 제조업,055-545-0882
685,(주)동방선기,부산광역시 강서구 송정동 1532-10,"증류기, 열교환기 및 가스발생기 제조업 외 1 종",051-831-1882
686,(주)동방에이티,부산광역시 강서구 대저1동 2724번지,기체 펌프 및 압축기 제조업,051-316-0639
687,(주)동방엠텍,부산광역시 사상구 학장동 719-11,자동차 엔진용 신품 부품 제조업,051-326-7811
688,(주)동방유통,부산광역시 사하구 구평동 485-2번지,수산동물 냉동품 제조업,051-314-4452
689,(주)동방테크윈,부산광역시 강서구 송정동 1487-7번지,분사기 및 소화기 제조업 외 1 종,051-831-9756
690,(주)동방테크윈,부산광역시 강서구 송정동 1534-3,분사기 및 소화기 제조업 외 2 종,051-831-9756
691,(주)동방특수고무,부산광역시 사상구 괘법동 562-66번지,그 외 기타 고무제품 제조업,051-315-5691
692,(주)동방화학,부산광역시 강서구 송정동 1529-3번지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,051-831-2728
693,(주)동백양조,부산광역시 기장군 정관읍 모전리 27-1번지,탁주 및 약주 제조업,051-727-1472
694,(주)동보에스엠,부산광역시 사상구 괘법동 520-36번지,신발 부분품 제조업,051-326-5077
695,(주)동부엔지니어링,부산광역시 사하구 장림동 1033-30번지,배전반 및 전기 자동제어반 제조업,051-261-4209
696,(주)동부엘리베이터,부산광역시 기장군 정관읍 매학리 397-16,승강기 제조업,051-704-9962
697,(주)동산금형,부산광역시 사상구 엄궁동 651-47번지,주형 및 금형 제조업,051-326-4317
698,(주)동산전기물류,부산광역시 강서구 대저2동 2463-11번지,육상 금속 골조 구조재 제조업 외 1 종,051-314-0632
699,(주)동산화학,부산광역시 강서구 송정동 1720-7,그 외 자동차용 신품 부품 제조업 외 5 종,051-322-5725
700,(주)동서기연,부산광역시 강서구 송정동 1753-14번지 외 1필지,기어 및 동력전달장치 제조업 외 2 종,051-831-2046
701,(주)동서산업,부산광역시 영도구 동삼동 201-49번지,레미콘 제조업,051-403-3055
702,(주)동서정밀,부산광역시 사상구 모라동 704-2번지,합금철 제조업,051-305-3684
703,(주)동서피앤엘      ,부산광역시 기장군 장안읍 반룡리 909번지,그 외 자동차용 신품 부품 제조업,051-714-2472
704,(주)동성기공,부산광역시 강서구 송정동 1518번지,자동차용 신품 의자 제조업 외 2 종,051-970-3500
705,(주)동성로라,부산광역시 강서구 송정동 1571-6번지,도금업,051-832-0112
706,(주)동성바텍,부산광역시 부산진구 가야제3동 416-25번지,분사기 및 소화기 제조업,051-897-8005
707,(주)동성사,부산광역시 사하구 신평동 486번지,종이 포대 및 가방 제조업,051-203-0570
708,(주)동성씨앤티,부산광역시 기장군 기장읍 대라리 164-11번지,기타 음향기기 제조업 외 5 종,051-804-4556
709,(주)동성엔텍,부산광역시 강서구 송정동 1737-7번지,그 외 기타 금속가공업,051-973-5272
710,(주)동성이에스,부산광역시 강서구 송정동 1500-6,배전반 및 전기 자동제어반 제조업 외 2 종,051-405-1105
711,(주)동성지기,부산광역시 연제구 연산제5동 1124-8번지,포장용판지상자및기타종이용기제조업,051-852-7321
712,(주)동성케미컬,부산광역시 사하구 신평동 472번지,일반용 도료 및 관련제품 제조업,051-200-4500
713,(주)동성케미컬 신평공장,부산광역시 사하구 신평제2동 370-116번지,신발 부분품 제조업 외 2 종,051-200-4573
714,(주)동성테크 부산지점,부산광역시 강서구 강동동 83-23번지,그 외 기타 전자부품 제조업 외 1 종,055-328-5388
715,(주)동성플러스,부산광역시 사상구 엄궁동 652-13번지,간판 및 광고물 제조업 외 7 종,051-313-4233
716,(주)동순덕식품,부산광역시 사하구 신평동 476 외 2필지,"면류, 마카로니 및 유사식품 제조업",051-203-8881
717,(주)동순덕식품,부산광역시 사하구 신평동 477 외 1필지,"면류, 마카로니 및 유사식품 제조업",051-203-8881
718,(주)동스틸,부산광역시 강서구 신호동 290-1번지,그 외 기타 1차 철강 제조업,070-7734-5766
719,(주)동신기전,부산광역시 영도구 동삼동 201-52번지,선박 구성 부분품 제조업,051-418-7880
720,(주)동신모텍 부산공장,부산광역시 강서구 신호동 185번지 제5동 트랜드엑셀공장,승용차 및 기타 여객용 자동차 제조업 외 2 종,미등록
721,(주)동신이엔텍,부산광역시 강서구 송정동 1662-9번지,그 외 기타 1차 철강 제조업 외 2 종,051-832-1473
722,(주)동신제지,부산광역시 기장군 정관읍 예림리 1091-7번지 (주)동신제지,위생용 종이제품 제조업,051-727-2621
723,(주)동신화스너,부산광역시 사상구 학장동 721-30번지,볼트 및 너트류 제조업 외 2 종,051-316-0676
724,(주)동아,부산광역시 사상구 모라동 715-17 1층,"근무복, 작업복 및 유사의복 제조업 외 2 종",051-245-1505
725,(주)동아,부산광역시 서구 초장동 8-4번지,"근무복, 작업복 및 유사의복 제조업 외 7 종",051-245-1505
726,(주)동아디젤,부산광역시 영도구 남항동1가 18번지,선박 구성 부분품 제조업 외 1 종,051-415-1250
727,(주)동아산업기계,부산광역시 사하구 다대동 1518-2번지,절삭가공 및 유사처리업,051-262-4375
728,(주)동아위드,부산광역시 사하구 하단동 492-2번지 대우에덴프라자 301,기타 인쇄업 외 2 종,051-911-0173
729,(주)동아위드,부산광역시 사하구 하단동 492-28 2층 (일부),남자용 겉옷 제조업 외 3 종,051-291-0911
730,(주)동아유화,부산광역시 사상구 감전동 146-8번지,기타 석유정제물 재처리업,051-323-4411
731,(주)동아이엔씨,부산광역시 강서구 송정동 1489-5번지,"증류기, 열교환기 및 가스발생기 제조업",051-319-0290
732,(주)동아인더스트리,부산광역시 사상구 덕포동 403-3번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-304-9534
733,(주)동아인더스트리,부산광역시 사상구 덕포동 269-19번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-304-9534
734,(주)동아지반   ,부산광역시 기장군 장안읍 반룡리 900-4,건설 및 채광용 기계장비 제조업,051-315-5067
735,(주)동아티엔씨,부산광역시 서구 남부민동 141번지,전시 및 광고용 조명장치 제조업 외 7 종,051-242-3330
736,(주)동아플레이팅,부산광역시 강서구 송정동 1735-2번지 부산청정도금센터 1층 107 1층 107호 외 1필지,도금업 외 1 종,051-972-2171
737,(주)동아피앤피,부산광역시 사하구 장림동 1109번지,오프셋 인쇄업,051-807-0600
738,(주)동아하이텍,부산광역시 사상구 모라동 75-8번지 모라아파트형공장 401호,기타 전기 변환장치 제조업 외 1 종,051-302-2380
739,(주)동안테크,부산광역시 기장군 장안읍 반룡리 898-4,금속 주조 및 기타 야금용 기계 제조업,051-987-0622
740,(주)동양/건재부문 부산공장,부산광역시 서구 암남동 645번지,레미콘 제조업 외 3 종,051-245-1800
741,(주)동양/건재부문 서부산공장,부산광역시 강서구 구랑동 1150번지,레미콘 제조업,051-972-9880
742,(주)동양/건재부문 정관공장,부산광역시 기장군 정관읍 달산리 38-10번지,레미콘 제조업,051-728-6657
743,(주)동양기전,부산광역시 강서구 대저1동 2307-1번지,배전반 및 전기 자동제어반 제조업,051-714-6880
744,(주)동양메탈,부산광역시 사상구 학장동 722-43번지,절삭가공 및 유사처리업,051-314-5156
745,(주)동양에프앤에프,부산광역시 사상구 감전동 157-29 HJ메탈,강관 제조업 외 1 종,051-941-6878
746,(주)동양염색,부산광역시 사하구 신평동 652-5번지,"직물, 편조원단 및 의복류 염색 가공업",051-292-2122
747,(주)동양윈텍,부산광역시 기장군 정관읍 예림리 319-2번지,"금속 문, 창, 셔터 및 관련제품 제조업",051-515-2544
748,(주)동양윈텍,부산광역시 기장군 장안읍 월내리 604-12번지,"금속 문, 창, 셔터 및 관련제품 제조업",051-515-2544
749,(주)동양이엔씨,부산광역시 영도구 대교동1가 1 브릿지타워 202호,배전반 및 전기 자동제어반 제조업,02-575-9526
750,(주)동양이엠텍,부산광역시 강서구 범방동 1915-9번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-831-3776
751,(주)동양전기,부산광역시 사상구 학장동 274-3번지,전동기 및 발전기 제조업,051-327-1715
752,(주)동양전기정공,부산광역시 강서구 송정동 1497-7번지,"전기회로 개폐, 보호장치 제조업 외 11 종",051-831-0750
753,(주)동양정공,부산광역시 사상구 감전동 506-4번지,자동차 차체용 신품 부품 제조업 외 2 종,051-316-3355
754,(주)동양터보엔텍,부산광역시 영도구 대평동2가 89-1번지,선박 구성 부분품 제조업,051-417-9002
755,(주)동양테크,부산광역시 기장군 정관읍 달산리 1074-2번지,자동차 차체용 신품 부품 제조업 외 2 종,070-7116-6221
756,(주)동양테크윈,부산광역시 강서구 송정동 1567-1번지,도금업,051-831-5782
757,(주)동양하이텍,부산광역시 사상구 학장동 275-27번지,자동차용 금속 압형제품 제조업,051-311-1332
758,(주)동양화인텍,부산광역시 강서구 범방동 1975-1 (주)동양휄트오일씰,절삭가공 및 유사처리업,051-316-6850
759,(주)동양화학,부산광역시 사상구 학장동 280-10번지,합성수지 및 기타 플라스틱 물질 제조업,051-324-6611
760,(주)동연산업,부산광역시 강서구 구랑동 1204-4 씨동,그 외 자동차용 신품 부품 제조업,051-971-1386
761,(주)동영2PTC,부산광역시 강서구 지사동 1174-5번지,공기 조화장치 제조업 외 1 종,051-971-3584
762,(주)동영물산,부산광역시 강서구 송정동 1675-1번지,"박판, 합판 및 유사 적층판 제조업",051-832-2393
763,(주)동영실업,부산광역시 강서구 미음동 1039번지,공기 조화장치 제조업 외 1 종,051-971-3584
764,(주)동우무역산업,부산광역시 사상구 학장동 289-5번지,기타 신발 제조업 외 1 종,051-312-7791
765,(주)동우에프지엠,부산광역시 강서구 송정동 1581-14번지 외 1필지,육상 금속 골조 구조재 제조업 외 2 종,051-831-2525
766,(주)동우이엔지,부산광역시 금정구 회동동 517-107번지,인쇄회로기판용 적층판 제조업 외 4 종,051-525-8963
767,(주)동우정기,부산광역시 강서구 대저2동 5164-4번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-941-9941
768,(주)동원용접재,부산광역시 강서구 대저2동 3141-1번지,그 외 기타 전기장비 제조업,051-322-2511
769,(주)동원테크,부산광역시 사상구 덕포동 395-3번지,절삭가공 및 유사처리업,051-319-4677
770,(주)동원통영수산,부산광역시 사하구 감천동 763-20번지 외 3필지,수산동물 냉동품 제조업 외 1 종,051-712-6305
771,(주)동원특강,부산광역시 강서구 미음동 1520-402번지,그 외 기타 1차 철강 제조업,051-832-1234
772,(주)동원해사랑,부산광역시 사하구 감천제1동 763-20번지,수산동물 냉동품 제조업 외 1 종,051-291-5101
773,(주)동이에코스,부산광역시 사하구 다대동 1521-2번지,기타 전기 변환장치 제조업 외 9 종,051-266-7755
774,(주)동이티씨에스,부산광역시 강서구 지사동 1207-19번지,선박 구성 부분품 제조업,051-941-3617
775,(주)동인산업,부산광역시 연제구 연산동 305-12번지,위생용 종이제품 제조업 외 2 종,051-863-5983
776,(주)동인엔시스,부산광역시 기장군 정관읍 달산리 399-24 (주)동인기전,배전반 및 전기 자동제어반 제조업,051-862-3668
777,(주)동인호,부산광역시 동래구 온천동 1465-6,구조용 금속 판제품 및 공작물 제조업,051-506-1437
778,(주)동일,부산광역시 사상구 감전동 159-3번지,신발 부분품 제조업,051-893-1907
779,(주)동일케미칼,부산광역시 사상구 학장동 722-39번지,그 외 기타 고무제품 제조업 외 2 종,051-313-0657
780,(주)동주엔지니어링,부산광역시 강서구 대저2동 2503-1번지,유선 통신장비 제조업,070-4322-4277
781,(주)동주이엔씨,부산광역시 강서구 강동동 714-4번지,금속 표시판 제조업 외 11 종,051-631-0113
782,(주)동진금속,부산광역시 사하구 구평동 477-1번지,"동 제련, 정련 및 합금 제조업",051-263-6031
783,(주)동진다이닝,부산광역시 사하구 신평동 642-3번지,"직물, 편조원단 및 의복류 염색 가공업 외 1 종",051-202-9408
784,(주)동진아노텍,부산광역시 강서구 송정동 1567-11번지,도금업,051-831-2302
785,(주)동진에프앤티,부산광역시 강서구 대저2동 1527번지,그 외 기타 1차 철강 제조업 외 23 종,051-973-4133
786,(주)동진염색,부산광역시 사하구 신평동 655-2번지,"직물, 편조원단 및 의복류 염색 가공업",051-201-0247
787,(주)동진전기,부산광역시 사하구 구평동 38-107번지,선박 구성 부분품 제조업,051-417-2808
788,(주)동진정보통신,부산광역시 수영구 광안동 542-7번지 1층,전시 및 광고용 조명장치 제조업 외 12 종,051-758-0800
789,(주)동진테크,부산광역시 사상구 학장동 722-38번지,자동차 차체용 신품 부품 제조업 외 2 종,051-317-5677
790,(주)동진특수금속,부산광역시 강서구 송정동 1771-12,강주물 주조업 외 1 종,미등록
791,(주)동진해상교역,부산광역시 영도구 남항동3가 22번지,선박 구성 부분품 제조업 외 1 종,051-418-8501
792,(주)동하,부산광역시 사하구 구평동 38-69번지,컨베이어장치 제조업 외 1 종,051-256-1774
793,(주)동하씨푸드,부산광역시 사하구 장림동 1086-8번지,수산동물 건조 및 염장품 제조업,051-265-9181
794,(주)동하씨푸드 지점,부산광역시 사하구 다대동 1522-7번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-265-9181
795,(주)동합철강,부산광역시 사상구 학장동 260-9,그 외 기타 1차 철강 제조업,051-313-5281
796,(주)동해공영,부산광역시 강서구 송정동 1768-1,안전유리 제조업 외 2 종,051-831-6125
797,(주)동해공영,부산광역시 강서구 송정동 1768-11,"금속 문, 창, 셔터 및 관련제품 제조업",051-831-6130
798,(주)동해내산펌프,부산광역시 사상구 모라동 719-8번지,액체 펌프 제조업,051-305-3373
799,(주)동해로씨푸드,부산광역시 사하구 장림동 980-54,수산동물 냉동품 제조업 외 1 종,051-909-9229
800,(주)동해산업,부산광역시 사하구 장림동 961-11,기타 건축용 플라스틱 조립제품 제조업,02-472-6077
801,(주)동해엠티,부산광역시 사하구 구평동 489-5,선박 구성 부분품 제조업 외 1 종,051-266-6877
802,(주)동헌레미콘,부산광역시 강서구 지사동 134-2,레미콘 제조업,051-972-8702
803,(주)동현기업,부산광역시 강서구 녹산동 1337-6번지,그 외 기타 분류 안된 금속 가공 제품 제조업,051-466-2812
804,(주)동현이엔지,부산광역시 강서구 화전동 596-12,절삭가공 및 유사처리업 외 2 종,051-831-2977
805,(주)동호에이텍,부산광역시 강서구 화전동 580-5번지,주형 및 금형 제조업,051-304-1600
806,(주)동호전자,"부산광역시 금정구 회동동 200-15번지 1, 2층",비디오 및 기타 영상기기 제조업,051-527-8707
807,(주)동화공조,부산광역시 사하구 장림동 1083-3번지,공기 조화장치 제조업,051-264-8183
808,(주)동화기업,부산광역시 사상구 삼락동 356-4번지,기체 여과기 제조업,051-531-7200
809,(주)동화뉴텍,부산광역시 강서구 구랑동 1192-3번지,"증류기, 열교환기 및 가스발생기 제조업 외 2 종",051-899-9670
810,(주)동화뉴텍,부산광역시 강서구 구랑동 1192-4번지,기체 펌프 및 압축기 제조업 외 1 종,051-974-4806
811,(주)동화뉴텍,부산광역시 강서구 구랑동 1192-1 한신기계,기체 펌프 및 압축기 제조업 외 1 종,051-974-4810
812,(주)동화선박의장,부산광역시 영도구 청학동 217-125번지,선박 구성 부분품 제조업,051-242-4258
813,(주)동화에프에이,"부산광역시 사상구 감전동 132-7번지 부산디지털밸리아파트형공장 402,403호",배전반 및 전기 자동제어반 제조업,051-329-7011
814,(주)동화엔텍,부산광역시 강서구 송정동 1575-6번지,"증류기, 열교환기 및 가스발생기 제조업 외 2 종",051-970-1010
815,(주)동화엔텍,부산광역시 강서구 지사동 1219-1번지,"증류기, 열교환기 및 가스발생기 제조업 외 1 종",051-970-1067
816,(주)동화엔텍,부산광역시 강서구 화전동 600-6번지,"증류기, 열교환기 및 가스발생기 제조업",051-970-1000
817,(주)동화엔텍,부산광역시 강서구 지사동 1276번지,배전반 및 전기 자동제어반 제조업,051-970-1067
818,(주)동화웰딩,부산광역시 강서구 미음동 1636-21,절삭가공 및 유사처리업 외 1 종,051-322-0445
819,(주)동화웰딩,부산광역시 사상구 감전동 157-8번지,절삭가공 및 유사처리업 외 1 종,051-322-0445
820,(주)동화일렉트릭,부산광역시 강서구 화전동 592-7번지,배전반 및 전기 자동제어반 제조업,051-941-8642
821,(주)동화정밀공업,부산광역시 강서구 미음동 205-19,자동차 엔진용 신품 부품 제조업,051-3223-7999
822,(주)동화정밀공업,부산광역시 사상구 감전동 951-13번지,자동차 엔진용 신품 부품 제조업 외 1 종,051-323-7999
823,(주)동화테크   ,부산광역시 강서구 송정동 1617-10번지,"증류기, 열교환기 및 가스발생기 제조업",051-899-9600
824,(주)동화피에이치이,부산광역시 강서구 화전동 580-2,금속탱크 및 저장용기 제조업 외 4 종,051-831-5093
825,(주)동화하이테크,부산광역시 사상구 삼락동 389-21번지,"증류기, 열교환기 및 가스발생기 제조업 외 7 종",051-323-2219
826,(주)동화하이텍,부산광역시 강서구 화전동 600-6,기체 펌프 및 압축기 제조업 외 1 종,051-970-1026
827,(주)두경수산,부산광역시 서구 남부민동 694번지,기타 수산동물 가공 및 저장 처리업,051-256-9422
828,(주)두리온,부산광역시 금정구 금사동 68-1 2층,"근무복, 작업복 및 유사의복 제조업 외 9 종",02-6959-6200
829,(주)두산에이치에프컨트롤스아시아,부산광역시 해운대구 재송동 1210번지 벽산e센텀클래스원 6층 609 6층 609호,기기용 자동측정 및 제어장치 제조업,051-783-6575
830,(주)두성공업사,부산광역시 강서구 생곡동 1601-1번지,그 외 자동차용 신품 부품 제조업,051-941-9965
831,(주)두성인터내셔날,부산광역시 사하구 구평동 485번지,선박 구성 부분품 제조업 외 2 종,051-256-6511
832,(주)두성테크,부산광역시 강서구 대저1동 3591-1번지,기타 구조용 금속제품 제조업 외 6 종,051-941-9965
833,(주)두아,부산광역시 강서구 송정동 1461-6번지,구조용 금속 판제품 및 공작물 제조업 외 1 종,051-832-0517
834,(주)두연스틸,부산광역시 강서구 송정동 1760-3번지 외 1필지,자동차용 금속 압형제품 제조업 외 1 종,051-971-5526
835,(주)두영산기,부산광역시 강서구 미음동 192-24번지,절삭가공 및 유사처리업,051-831-2477
836,(주)두영산기,부산광역시 강서구 녹산동 578번지,절삭가공 및 유사처리업,051-831-2477
837,(주)두원스틸,부산광역시 기장군 장안읍 장안리 692-4번지,그 외 기타 1차 철강 제조업,051-518-0013
838,(주)두원이엔씨,부산광역시 기장군 장안읍 명례리 907-4,선박 구성 부분품 제조업,051-521-4551
839,(주)두익이엔지,"부산광역시 영도구 청학동 330-147번지 (주)세화기업 공장 1,3층",선박 구성 부분품 제조업,051-466-9492
840,(주)두인티앤피,부산광역시 강서구 지사동 1208-1,강관 제조업,051-715-9931
841,(주)드라이브포스,부산광역시 기장군 정관읍 예림리 601-1,배전반 및 전기 자동제어반 제조업,051-710-7760
842,(주)드라이브포스,부산광역시 기장군 장안읍 임랑리 254-2 (동남권 방사선 의·과학 일반산업단지 내 산업 10-8),산업용 로봇 제조업 외 2 종,051-710-7760
843,(주)드림덴탈  ,부산광역시 해운대구 석대동 617번지 석대동 6170000 공장 ((주)테크노에스에스) 5층 501,그 외 기타 의료용 기기 제조업,051-636-2814
844,(주)드림레이,부산광역시 남구 용당동 100번지,방사선 장치 제조업,051-627-9362
845,(주)드림컴퍼니    ,부산광역시 기장군 장안읍 반룡리 900-6번지,기타 가정용 전기기기 제조업,051-939-7000
846,(주)드림테크,부산광역시 강서구 지사동 1179-3,기타 가공 공작기계 제조업 외 1 종,051-714-4969
847,(주)드림하이테크,부산광역시 강서구 지사동 1179-3,기타 가공 공작기계 제조업 외 1 종,051-972-0656
848,(주)득일정밀,부산광역시 강서구 명지동 3174-7번지,그 외 자동차용 신품 부품 제조업 외 4 종,051-302-0457
849,(주)등대식품,부산광역시 사하구 장림동 1082-5번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1 종",051-900-6410
850,(주)등푸른식품,부산광역시 사하구 장림동 1086-14번지,기타 수산동물 가공 및 저장 처리업,051-263-6363
851,(주)디네스,부산광역시 강서구 녹산동 78-1번지,선박 구성 부분품 제조업,051-971-0972
852,(주)디락,부산광역시 강서구 지사동 산 76-4번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,070-4038-6789
853,(주)디비텍,부산광역시 금정구 회동동 151-2번지 2층,기타 인쇄업 외 1 종,051-624-7327
854,(주)디씨아이테크,부산광역시 사하구 구평동 233-2번지,그 외 기타 전자부품 제조업 외 1 종,051-264-7436
855,(주)디아이씨    ,부산광역시 기장군 정관읍 예림리 936-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-728-5936
856,(주)디알모빌리티,부산광역시 기장군 장안읍 반룡리 839-1번지,자동차 엔진용 신품 부품 제조업 외 1 종,070-8640-6500
857,(주)디알모빌리티 정관공장,부산광역시 기장군 정관면 예림리 940-15번지,자동차 엔진용 신품 부품 제조업 외 1 종,070-8640-6500
858,(주)디알액시온 ,부산광역시 기장군 정관읍 예림리 940-30 (주)디알 액시온,자동차 엔진용 신품 부품 제조업 외 1 종,070-8640-6512
859,(주)디알액시온 장안공장,부산광역시 기장군 장안읍 반룡리 839-1,자동차 엔진용 신품 부품 제조업 외 1 종,070-8640-6600
860,(주)디알액시온 정관공장 ,부산광역시 기장군 정관읍 예림리 940-15,자동차 엔진용 신품 부품 제조업 외 1 종,070-8640-6635
861,(주)디앤블루션,부산광역시 강서구 신호동 207-3,절삭가공 및 유사처리업 외 4 종,051-831-8414
862,(주)디앤비,부산광역시 강서구 미음동 1492-16번지,비동력식 수공구 제조업 외 21 종,051-831-7583
863,(주)디에스 토탈마린,부산광역시 영도구 청학동 1-37 2층,선박 구성 부분품 제조업 외 1 종,051-412-9993
864,(주)디에스메탈,부산광역시 강서구 송정동 1495-1번지,절삭가공 및 유사처리업,051-831-4235
865,(주)디에스브이,부산광역시 강서구 송정동 1585-9번지,"탭, 밸브 및 유사장치 제조업",051-316-9824
866,(주)디에스아이프리징솔루션,부산광역시 사하구 감천동 772-1,산업용 냉장 및 냉동 장비 제조업,051-959-4315
867,(주)디에스앤,부산광역시 사하구 신평동 370-55번지,선박 구성 부분품 제조업,051-207-9391
868,(주)디에스에너지   ,부산광역시 기장군 장안읍 월내리 661-1번지,배전반 및 전기 자동제어반 제조업,070-8688-0666
869,(주)디에스에스비,부산광역시 사상구 감전동 134-29,비디오 및 기타 영상기기 제조업 외 6 종,051-323-9301
870,(주)디에스엠,부산광역시 강서구 화전동 585-7 번지,철도차량 부품 및 관련 장치물 제조업,051-832-0821
